Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,11280114,0,"Friday, April  5, 2013 23:01:00 UTC",33.1035,-116.7302,1.3,3.50,15,"Southern California"
us,b000g112,9,"Friday, April  5, 2013 22:55:02 UTC",36.4463,71.4090,5.4,103.60,75,"Hindu Kush region, Afghanistan"
ci,11280106,0,"Friday, April  5, 2013 22:24:39 UTC",33.6447,-116.1005,1.5,15.00,27,"Southern California"
us,b000g103,6,"Friday, April  5, 2013 22:10:44 UTC",-22.2493,170.7974,4.9,24.40,28,"southeast of the Loyalty Islands"
ci,11280090,0,"Friday, April  5, 2013 22:10:02 UTC",35.7937,-118.0577,1.4,13.20,23,"Central California"
ak,10688458,1,"Friday, April  5, 2013 22:01:01 UTC",62.3886,-151.5822,1.9,99.50, 5,"Central Alaska"
us,b000g0zc,4,"Friday, April  5, 2013 21:53:01 UTC",37.3464,144.7041,4.9,37.40,94,"off the east coast of Honshu, Japan"
nc,71966880,2,"Friday, April  5, 2013 21:50:29 UTC",37.8857,-118.4722,1.1,8.00,18,"Central California"
ci,11280066,0,"Friday, April  5, 2013 21:44:28 UTC",33.3947,-117.5202,2.0,3.20,17,"Southern California"
nc,71966875,1,"Friday, April  5, 2013 21:39:25 UTC",38.7867,-122.7613,2.0,1.20,30,"Northern California"
ci,11280058,0,"Friday, April  5, 2013 21:34:48 UTC",33.8028,-116.0907,1.4,4.60,39,"Southern California"
ak,10688442,1,"Friday, April  5, 2013 21:31:32 UTC",61.3330,-150.8535,1.6,54.40,12,"Southern Alaska"
ak,10688440,1,"Friday, April  5, 2013 21:27:50 UTC",60.4617,-147.8123,1.6,20.80, 4,"Southern Alaska"
ci,11280050,0,"Friday, April  5, 2013 21:23:04 UTC",32.9535,-116.2185,1.8,4.10,12,"Southern California"
uw,60515137,1,"Friday, April  5, 2013 21:09:21 UTC",45.1417,-122.7297,2.3,25.20,27,"Oregon"
nc,71966865,1,"Friday, April  5, 2013 21:05:45 UTC",38.8140,-122.8107,1.0,3.40,23,"Northern California"
nc,71966860,0,"Friday, April  5, 2013 21:03:45 UTC",38.8137,-122.8132,1.1,3.20,17,"Northern California"
nc,71966855,1,"Friday, April  5, 2013 20:53:48 UTC",37.4195,-118.6222,1.6,12.10,24,"Central California"
